Epoch: [0]  [     0/109815]  eta: 19:50:03  lr: 0.000010  class_error: 100.00  grad_norm: 128.79  loss: 6.3030 (6.3030)  loss_ce: 2.0967 (2.0967)  loss_bbox: 2.4293 (2.4293)  loss_giou: 1.7770 (1.7770)  loss_ce_unscaled: 1.0484 (1.0484)  class_error_unscaled: 100.0000 (100.0000)  loss_bbox_unscaled: 0.4859 (0.4859)  loss_giou_unscaled: 0.8885 (0.8885)  cardinality_error_unscaled: 288.0000 (288.0000)  loss_ce_0_unscaled: 1.0193 (1.0193)  loss_bbox_0_unscaled: 0.5319 (0.5319)  loss_giou_0_unscaled: 0.8885 (0.8885)  cardinality_error_0_unscaled: 261.0000 (261.0000)  time: 0.6502  data: 0.0001  max mem: 6210
Epoch: [0]  [    10/109815]  eta: 15:23:43  lr: 0.000010  class_error: 100.00  grad_norm: 42.55  loss: 5.6159 (7.0462)  loss_ce: 2.0967 (2.0744)  loss_bbox: 2.3105 (3.2327)  loss_giou: 1.7757 (1.7391)  loss_ce_unscaled: 1.0484 (1.0372)  class_error_unscaled: 100.0000 (100.0000)  loss_bbox_unscaled: 0.4621 (0.6465)  loss_giou_unscaled: 0.8879 (0.8696)  cardinality_error_unscaled: 291.0000 (291.5455)  loss_ce_0_unscaled: 1.0530 (1.0444)  loss_bbox_0_unscaled: 0.4405 (0.6530)  loss_giou_0_unscaled: 0.8879 (0.8686)  cardinality_error_0_unscaled: 285.0000 (282.5455)  time: 0.5047  data: 0.0000  max mem: 7049
Epoch: [0]  [    20/109815]  eta: 15:23:28  lr: 0.000010  class_error: 100.00  grad_norm: 141.46  loss: 6.9574 (7.5647)  loss_ce: 2.1090 (2.1262)  loss_bbox: 3.2284 (3.6560)  loss_giou: 1.8291 (1.7825)  loss_ce_unscaled: 1.0545 (1.0631)  class_error_unscaled: 100.0000 (100.0000)  loss_bbox_unscaled: 0.6457 (0.7312)  loss_giou_unscaled: 0.9146 (0.8912)  cardinality_error_unscaled: 294.0000 (293.3333)  loss_ce_0_unscaled: 1.0894 (1.0654)  loss_bbox_0_unscaled: 0.6115 (0.7340)  loss_giou_0_unscaled: 0.9146 (0.8907)  cardinality_error_0_unscaled: 289.0000 (286.2857)  time: 0.4974  data: 0.0000  max mem: 7081
Epoch: [0]  [    30/109815]  eta: 15:13:25  lr: 0.000010  class_error: 100.00  grad_norm: 111.68  loss: 7.8417 (7.5017)  loss_ce: 2.1086 (2.1322)  loss_bbox: 3.2752 (3.6201)  loss_giou: 1.8664 (1.7494)  loss_ce_unscaled: 1.0543 (1.0661)  class_error_unscaled: 100.0000 (98.9247)  loss_bbox_unscaled: 0.6550 (0.7240)  loss_giou_unscaled: 0.9332 (0.8747)  cardinality_error_unscaled: 298.0000 (294.9355)  loss_ce_0_unscaled: 1.0627 (1.0857)  loss_bbox_0_unscaled: 0.6551 (0.7295)  loss_giou_0_unscaled: 0.9329 (0.8783)  cardinality_error_0_unscaled: 293.0000 (288.5484)  time: 0.4962  data: 0.0000  max mem: 7081
Epoch: [0]  [    40/109815]  eta: 15:10:53  lr: 0.000010  class_error: 100.00  grad_norm: 38.23  loss: 7.7337 (7.6735)  loss_ce: 2.0557 (2.1487)  loss_bbox: 3.8380 (3.7500)  loss_giou: 1.8738 (1.7748)  loss_ce_unscaled: 1.0278 (1.0743)  class_error_unscaled: 100.0000 (99.1870)  loss_bbox_unscaled: 0.7676 (0.7500)  loss_giou_unscaled: 0.9369 (0.8874)  cardinality_error_unscaled: 298.0000 (295.4878)  loss_ce_0_unscaled: 1.0592 (1.1115)  loss_bbox_0_unscaled: 0.7697 (0.7610)  loss_giou_0_unscaled: 0.9370 (0.8903)  cardinality_error_0_unscaled: 293.0000 (289.3415)  time: 0.4908  data: 0.0000  max mem: 7083
Epoch: [0]  [    50/109815]  eta: 15:12:43  lr: 0.000010  class_error: 100.00  grad_norm: 36.77  loss: 8.6411 (7.9219)  loss_ce: 2.1407 (2.1501)  loss_bbox: 3.9601 (3.9963)  loss_giou: 1.8786 (1.7755)  loss_ce_unscaled: 1.0703 (1.0751)  class_error_unscaled: 100.0000 (99.3464)  loss_bbox_unscaled: 0.7920 (0.7993)  loss_giou_unscaled: 0.9393 (0.8877)  cardinality_error_unscaled: 295.0000 (294.8431)  loss_ce_0_unscaled: 1.0531 (1.1099)  loss_bbox_0_unscaled: 0.8595 (0.8087)  loss_giou_0_unscaled: 0.9394 (0.8901)  cardinality_error_0_unscaled: 291.0000 (289.4118)  time: 0.4985  data: 0.0000  max mem: 7083
Epoch: [0]  [    60/109815]  eta: 15:12:28  lr: 0.000010  class_error: 100.00  grad_norm: 21.48  loss: 8.0960 (8.0019)  loss_ce: 2.1740 (2.1679)  loss_bbox: 4.0894 (4.0515)  loss_giou: 1.8738 (1.7825)  loss_ce_unscaled: 1.0870 (1.0840)  class_error_unscaled: 100.0000 (99.4536)  loss_bbox_unscaled: 0.8179 (0.8103)  loss_giou_unscaled: 0.9369 (0.8912)  cardinality_error_unscaled: 292.0000 (294.5902)  loss_ce_0_unscaled: 1.1685 (1.1256)  loss_bbox_0_unscaled: 0.8251 (0.8189)  loss_giou_0_unscaled: 0.9557 (0.8942)  cardinality_error_0_unscaled: 292.0000 (290.1803)  time: 0.5008  data: 0.0000  max mem: 7083
Epoch: [0]  [    70/109815]  eta: 15:11:27  lr: 0.000010  class_error: 100.00  grad_norm: 89.02  loss: 7.2557 (7.9144)  loss_ce: 2.1608 (2.1536)  loss_bbox: 3.5787 (3.9831)  loss_giou: 1.8386 (1.7777)  loss_ce_unscaled: 1.0804 (1.0768)  class_error_unscaled: 100.0000 (98.8263)  loss_bbox_unscaled: 0.7157 (0.7966)  loss_giou_unscaled: 0.9193 (0.8888)  cardinality_error_unscaled: 294.0000 (294.4366)  loss_ce_0_unscaled: 1.1565 (1.1244)  loss_bbox_0_unscaled: 0.7828 (0.8054)  loss_giou_0_unscaled: 0.9281 (0.8914)  cardinality_error_0_unscaled: 295.0000 (290.9859)  time: 0.4968  data: 0.0000  max mem: 7083
Epoch: [0]  [    80/109815]  eta: 15:16:26  lr: 0.000010  class_error: 50.00  grad_norm: 92.48  loss: 7.9697 (8.0241)  loss_ce: 1.9822 (2.1282)  loss_bbox: 3.9141 (4.1085)  loss_giou: 1.8982 (1.7873)  loss_ce_unscaled: 0.9911 (1.0641)  class_error_unscaled: 100.0000 (95.8848)  loss_bbox_unscaled: 0.7828 (0.8217)  loss_giou_unscaled: 0.9491 (0.8937)  cardinality_error_unscaled: 294.0000 (294.5185)  loss_ce_0_unscaled: 1.0527 (1.1207)  loss_bbox_0_unscaled: 0.7884 (0.8304)  loss_giou_0_unscaled: 0.9493 (0.8965)  cardinality_error_0_unscaled: 296.0000 (291.5802)  time: 0.5080  data: 0.0000  max mem: 7341
Epoch: [0]  [    90/109815]  eta: 15:14:30  lr: 0.000010  class_error: 100.00  grad_norm: 93.95  loss: 8.9992 (8.0513)  loss_ce: 1.9822 (2.1268)  loss_bbox: 4.9302 (4.1337)  loss_giou: 1.9185 (1.7908)  loss_ce_unscaled: 0.9911 (1.0634)  class_error_unscaled: 100.0000 (96.3370)  loss_bbox_unscaled: 0.9860 (0.8267)  loss_giou_unscaled: 0.9593 (0.8954)  cardinality_error_unscaled: 296.0000 (294.7802)  loss_ce_0_unscaled: 1.1245 (1.1252)  loss_bbox_0_unscaled: 0.9957 (0.8352)  loss_giou_0_unscaled: 0.9595 (0.8983)  cardinality_error_0_unscaled: 296.0000 (292.2088)  time: 0.5063  data: 0.0000  max mem: 7341
Epoch: [0]  [   100/109815]  eta: 15:14:08  lr: 0.000010  class_error: 100.00  grad_norm: 101.41  loss: 8.5225 (8.0725)  loss_ce: 2.0595 (2.1047)  loss_bbox: 4.4315 (4.1750)  loss_giou: 1.8953 (1.7929)  loss_ce_unscaled: 1.0297 (1.0523)  class_error_unscaled: 100.0000 (96.6997)  loss_bbox_unscaled: 0.8863 (0.8350)  loss_giou_unscaled: 0.9477 (0.8964)  cardinality_error_unscaled: 298.0000 (295.0990)  loss_ce_0_unscaled: 1.1495 (1.1165)  loss_bbox_0_unscaled: 0.8678 (0.8429)  loss_giou_0_unscaled: 0.9497 (0.8991)  cardinality_error_0_unscaled: 297.0000 (292.6535)  time: 0.4952  data: 0.0000  max mem: 7341
